0) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

1) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Learning new action description...
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

2) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Learning new action description...
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

3) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

4) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

5) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

6) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

7) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

8) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Agent can't find an applicable plan from this state: []

9) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Learning new action description...
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

10) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

11) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

12) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

13) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

14) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

15) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

16) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

17) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

18) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

19) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

20) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Learning new action description...
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

21) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

22) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

23) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Agent can't find an applicable plan from this state: []

24) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

25) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

26) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

27) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

28) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Learning new action description...
Visited Checkpoint 3
Learning new action description...
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

29) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

30) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Learning new action description...
Visited Checkpoint 3
Learning new action description...
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

31) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

32) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

33) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

34) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Learning new action description...
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

35) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

36) ------------------------------------------------
Visited Checkpoint 1
Learning new action description...
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

37) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

38) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

39) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Agent can't find an applicable plan from this state: []

40) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

41) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

42) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

43) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

44) ------------------------------------------------
Learning new action description...
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

45) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

46) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Learning new action description...
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

47) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

48) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

49) ------------------------------------------------
Visited Checkpoint 1
Visited Checkpoint 2
Visited Checkpoint 3
Visited Checkpoint 4
 OOOOOOOOOO SUCCESS OOOOOOOOOO

